シナリオ,年率,Sharpe,MaxDD,DD日数,勝率,損益比,Calmar,最終資産(万)
cap=3.0_amp=1.30_DD,68.52%,3.417,-17.36%,54,54.34%,1.581,3.946,12749
cap=2.5_amp=1.30_DD,63.64%,3.387,-17.00%,54,54.34%,1.544,3.744,9707
cap=3.0_amp=1.20_DD,62.99%,3.357,-17.07%,54,54.12%,1.574,3.691,9351
cap=2.3_amp=1.30_DD,61.17%,3.373,-17.40%,54,54.34%,1.526,3.516,8427
cap=2.5_amp=1.20_DD,58.57%,3.328,-16.75%,54,54.12%,1.537,3.497,7245
cap=3.0_amp=1.15_DD,59.45%,3.291,-17.30%,54,54.16%,1.554,3.436,7625
cap=2.3_amp=1.20_DD,57.66%,3.369,-17.12%,54,54.12%,1.530,3.368,6867
cap=2.3_amp=1.15_DD,55.38%,3.346,-16.46%,54,54.16%,1.519,3.365,6000
cap=2.5_amp=1.15_DD,56.56%,3.318,-17.01%,54,54.16%,1.528,3.326,6434
cap=2.0_amp=1.15_DD,51.08%,3.300,-15.63%,54,54.16%,1.487,3.269,4621
cap=2.0_amp=1.20_DD,53.08%,3.317,-16.25%,54,54.12%,1.496,3.267,5221
cap=2.0_amp=1.30_DD,57.09%,3.343,-17.48%,54,54.34%,1.494,3.266,6638
cap=2.5_amp=1.10_BC_DD,46.71%,3.483,-14.32%,54,54.08%,1.664,3.262,3518
cap=2.3_amp=1.15_BC_DD,46.80%,3.479,-14.38%,54,54.16%,1.647,3.253,3538
cap=3.0_amp=1.00_DD,53.02%,3.224,-16.34%,54,54.04%,1.535,3.244,5204
cap=2.3_amp=1.10_BC_DD,45.01%,3.459,-13.99%,54,54.08%,1.647,3.217,3157
cap=2.0_amp=1.20_BC_DD,45.20%,3.451,-14.09%,54,54.12%,1.625,3.208,3195
cap=2.0_amp=1.15_BC_DD,43.54%,3.435,-13.76%,54,54.16%,1.617,3.164,2872
cap=3.0_amp=1.30_C1,68.31%,3.363,-21.86%,54,54.34%,1.571,3.124,12603
cap=3.0_amp=1.20_C1,63.23%,3.329,-20.41%,54,54.12%,1.572,3.098,9482
cap=2.5_amp=1.00_DD,50.67%,3.247,-16.39%,54,54.04%,1.512,3.092,4506
cap=3.0_amp=1.15_C1,60.74%,3.309,-19.67%,54,54.16%,1.561,3.087,8218
cap=2.3_amp=1.00_DD,48.46%,3.224,-15.73%,54,54.04%,1.493,3.082,3929
cap=3.0_amp=1.00_C1,53.42%,3.230,-17.43%,54,54.04%,1.541,3.065,5330
cap=2.5_amp=1.15_BC_DD,47.66%,3.461,-15.56%,54,54.16%,1.654,3.064,3737
cap=2.3_amp=1.20_BC_DD,47.69%,3.452,-15.63%,54,54.12%,1.644,3.052,3743
cap=2.5_amp=1.30_C1,63.83%,3.355,-20.95%,54,54.34%,1.541,3.047,9809
cap=2.3_amp=1.30_C1,61.12%,3.341,-20.11%,54,54.34%,1.523,3.039,8400
cap=2.0_amp=1.00_DD,44.88%,3.179,-14.82%,54,54.04%,1.462,3.029,3131
cap=2.5_amp=1.20_C1,59.12%,3.320,-19.56%,54,54.12%,1.541,3.023,7479
cap=2.3_amp=1.20_C1,56.63%,3.306,-18.78%,54,54.12%,1.523,3.016,6460
cap=2.5_amp=1.15_C1,56.80%,3.300,-18.85%,54,54.16%,1.531,3.013,6525
cap=2.3_amp=1.15_C1,54.42%,3.286,-18.10%,54,54.16%,1.513,3.006,5661
cap=2.5_amp=1.00_C1,49.99%,3.219,-16.71%,54,54.04%,1.511,2.991,4321
cap=2.0_amp=1.30_C1,56.26%,3.296,-18.84%,54,54.34%,1.491,2.987,6322
cap=2.3_amp=1.00_C1,47.92%,3.205,-16.05%,54,54.04%,1.494,2.986,3798
cap=2.5_amp=1.20_BC_DD,48.27%,3.412,-16.21%,54,54.12%,1.648,2.978,3881
cap=2.0_amp=1.20_C1,52.20%,3.264,-17.59%,54,54.12%,1.492,2.967,4949
cap=2.0_amp=1.15_C1,50.20%,3.245,-16.96%,54,54.16%,1.482,2.959,4377
cap=3.0_amp=1.30_B1B3,71.20%,3.432,-24.16%,54,54.34%,1.683,2.946,14763
cap=2.0_amp=1.00_C1,44.31%,3.167,-15.05%,54,54.04%,1.464,2.943,3018
H+_現行,71.14%,3.400,-24.32%,54,54.34%,1.579,2.925,14712
cap=3.0_amp=1.30,71.14%,3.400,-24.32%,54,54.34%,1.579,2.925,14712
cap=3.0_amp=1.20_B1B3,65.87%,3.399,-22.53%,54,54.12%,1.688,2.923,11002
cap=3.0_amp=1.15_B1B3,63.25%,3.380,-21.70%,54,54.16%,1.679,2.914,9489
cap=3.0_amp=1.25,68.45%,3.383,-23.51%,54,54.25%,1.579,2.912,12704
cap=3.0_amp=1.20,65.80%,3.363,-22.69%,54,54.12%,1.580,2.900,10964
cap=3.0_amp=1.15,63.18%,3.342,-21.86%,54,54.16%,1.569,2.890,9456
cap=2.7_amp=1.30,68.66%,3.398,-23.80%,54,54.34%,1.563,2.885,12850
cap=3.0_amp=1.10,60.60%,3.318,-21.03%,54,54.08%,1.566,2.881,8151
cap=2.7_amp=1.25,66.08%,3.380,-23.00%,54,54.25%,1.562,2.873,11134
cap=3.0_amp=1.00,55.51%,3.261,-19.35%,54,54.04%,1.549,2.869,6045
cap=2.7_amp=1.20,63.52%,3.361,-22.20%,54,54.12%,1.563,2.861,9641
cap=2.7_amp=1.15,61.00%,3.339,-21.39%,54,54.16%,1.553,2.851,8344
cap=2.5_amp=1.30_B1B3,66.33%,3.424,-23.27%,54,54.34%,1.647,2.850,11291
cap=2.7_amp=1.10,58.51%,3.315,-20.58%,54,54.08%,1.550,2.843,7217
cap=2.7_amp=1.00,53.60%,3.257,-18.93%,54,54.04%,1.532,2.831,5390
cap=2.5_amp=1.20_B1B3,61.40%,3.393,-21.70%,54,54.12%,1.652,2.829,8536
cap=2.5_amp=1.30,66.27%,3.388,-23.43%,54,54.34%,1.547,2.828,11251
cap=2.5_amp=1.15_B1B3,58.97%,3.374,-20.90%,54,54.16%,1.643,2.821,7417
cap=2.5_amp=1.25,63.79%,3.371,-22.65%,54,54.25%,1.546,2.816,9786
cap=2.5_amp=1.20,61.34%,3.352,-21.86%,54,54.12%,1.547,2.806,8507
cap=2.3_amp=1.30,63.33%,3.370,-22.62%,54,54.34%,1.528,2.799,9532
cap=2.5_amp=1.15,58.91%,3.331,-21.07%,54,54.16%,1.537,2.797,7391
cap=2.5_amp=1.10,56.52%,3.307,-20.26%,54,54.08%,1.534,2.789,6418
cap=2.3_amp=1.25,60.97%,3.353,-21.87%,54,54.25%,1.527,2.788,8330
cap=2.5_amp=1.00,51.80%,3.248,-18.64%,54,54.04%,1.517,2.779,4831
cap=2.3_amp=1.20,58.64%,3.334,-21.10%,54,54.12%,1.528,2.779,7275
cap=2.3_amp=1.15,56.34%,3.313,-20.34%,54,54.16%,1.518,2.770,6350
cap=2.3_amp=1.10,54.06%,3.289,-19.56%,54,54.08%,1.515,2.763,5541
cap=2.3_amp=1.00,49.58%,3.231,-18.00%,54,54.04%,1.499,2.755,4211
cap=2.0_amp=1.30_B1B3,58.18%,3.362,-21.23%,54,54.34%,1.591,2.741,7082
cap=2.0_amp=1.20_B1B3,53.96%,3.335,-19.79%,54,54.12%,1.596,2.727,5509
cap=2.0_amp=1.15_B1B3,51.89%,3.318,-19.06%,54,54.16%,1.588,2.722,4855
cap=2.0_amp=1.30,58.13%,3.318,-21.39%,54,54.34%,1.494,2.718,7058
cap=2.0_amp=1.25,56.01%,3.303,-20.67%,54,54.25%,1.494,2.709,6226
cap=2.0_amp=1.10_BC_DD,41.15%,3.341,-15.21%,54,54.08%,1.603,2.706,2457
cap=2.0_amp=1.20,53.91%,3.285,-19.95%,54,54.12%,1.495,2.702,5490
cap=2.0_amp=1.15,51.83%,3.266,-19.23%,54,54.16%,1.485,2.695,4839
cap=2.0_amp=1.10,49.77%,3.243,-18.50%,54,54.08%,1.483,2.690,4263
cap=2.0_amp=1.00,45.72%,3.187,-17.02%,54,54.04%,1.468,2.686,3304
cap=2.3_amp=1.10_BC,45.11%,3.376,-17.54%,54,54.08%,1.640,2.572,3179
cap=2.3_amp=1.10_Call,45.53%,3.349,-17.74%,54,54.08%,1.520,2.567,3264
cap=2.3_amp=1.15_BC,46.86%,3.392,-18.26%,54,54.16%,1.639,2.566,3552
cap=2.3_amp=1.20_BC,48.62%,3.405,-18.97%,54,54.12%,1.646,2.563,3968
cap=2.5_amp=1.10_BC,46.79%,3.388,-18.26%,54,54.08%,1.656,2.562,3536
cap=2.3_amp=1.15_Call,47.28%,3.368,-18.45%,54,54.16%,1.521,2.562,3647
cap=2.3_amp=1.20_Call,49.04%,3.384,-19.16%,54,54.12%,1.530,2.559,4074
cap=2.5_amp=1.10_Call,47.21%,3.364,-18.46%,54,54.08%,1.535,2.558,3631
cap=2.5_amp=1.15_BC,48.60%,3.405,-19.01%,54,54.16%,1.655,2.557,3963
cap=2.0_amp=1.10_BC,42.02%,3.347,-16.45%,54,54.08%,1.612,2.554,2601
cap=2.5_amp=1.20_BC,50.43%,3.418,-19.75%,54,54.12%,1.662,2.554,4440
cap=2.5_amp=1.15_Call,49.03%,3.383,-19.20%,54,54.16%,1.536,2.553,4069
cap=2.5_amp=1.20_Call,50.86%,3.399,-19.94%,54,54.12%,1.545,2.551,4560
cap=2.0_amp=1.10_Call,42.42%,3.315,-16.65%,54,54.08%,1.494,2.548,2671
cap=2.0_amp=1.15_BC,43.62%,3.362,-17.12%,54,54.16%,1.611,2.547,2887
cap=2.0_amp=1.20_BC,45.23%,3.374,-17.79%,54,54.12%,1.617,2.543,3202
cap=2.0_amp=1.15_Call,44.03%,3.332,-17.32%,54,54.16%,1.495,2.542,2964
cap=2.0_amp=1.20_Call,45.65%,3.347,-17.99%,54,54.12%,1.503,2.538,3288
