シナリオ,年率,Sharpe,MaxDD,DD日数,勝率,損益比,Calmar,最終資産(万)
H+ (現行),71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
A1: cap=2.0,58.2%,3.32,-21.4%,54,54.3%,1.49,2.72,7070
A2: amp=1.15,63.2%,3.34,-21.9%,54,54.2%,1.57,2.89,9468
A1+A2,51.8%,3.27,-19.2%,54,54.2%,1.49,2.70,4844
B1: 弱sig×0.2,71.5%,3.43,-24.5%,54,54.3%,1.63,2.92,15032
B2: 高VIX弱sig×0.3,71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
B3: LS弱×0.5,71.0%,3.42,-24.1%,54,54.3%,1.65,2.95,14595
B4: LS弱増幅無効,71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
C1: イベント日×0.5,68.3%,3.36,-21.9%,54,54.3%,1.57,3.13,12624
C2: 夜間先物×0.5,71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
C3: VIX急騰×0.5,71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
C4: 為替急変×0.5,71.2%,3.40,-24.3%,54,54.3%,1.58,2.93,14737
A1+A2+B全部,51.8%,3.32,-19.1%,54,54.2%,1.59,2.72,4844
A1+A2+C全部,50.2%,3.25,-17.0%,54,54.2%,1.48,2.96,4382
A+B+C全部,50.2%,3.29,-16.8%,54,54.2%,1.58,2.99,4373
A1+A2+DD動的,51.1%,3.30,-15.6%,54,54.2%,1.49,3.27,4627
A+B+C+DD動的,49.5%,3.32,-14.5%,54,54.2%,1.58,3.41,4196
