round,sig_coef,size_cap,size_min,short_amp,target_vol,train_calmar_median,test_calmar_median,test_annual_r,test_max_dd
Round1,2.0,5.0,0.3,1.5,0.02,19.549876527326788,13.887915663672564,1.2868292027100492,-0.10226533473843104
Round1,3.0,5.0,0.3,1.5,0.02,19.540132764081356,14.992322161351112,1.8977099120562877,-0.15752855242076458
Round1,2.5,5.0,0.3,1.5,0.02,19.49232810369965,14.389395816290772,1.6177576321872902,-0.129889767160359
Round1,5.0,5.0,0.3,1.5,0.02,19.448070777537826,14.55583646140613,2.4002329265058227,-0.2528235234304013
Round1,5.0,5.0,0.2,1.5,0.02,19.427060144928667,14.549906803021052,2.404455342028299,-0.2546317011242819
Round1,4.0,5.0,0.3,1.5,0.015,19.41136275629418,14.947843904501337,1.8867632651594728,-0.1590576470794698
Round1,3.0,5.0,0.2,1.5,0.02,19.343558001075014,14.908211232286039,1.882591388923328,-0.15956734529903868
Round1,5.0,5.0,0.1,1.5,0.02,19.301882103661853,14.411960504098332,2.390245472376473,-0.2561716356572752
Round1,5.0,5.0,0.3,1.5,0.012,19.30070474495995,14.890931538661098,1.881813355311873,-0.15997510387469296
Round1,5.0,5.0,0.3,1.5,0.015,19.28118597113818,14.610097998505132,2.0964764037182655,-0.1987519154118676
Round1,4.0,5.0,0.2,1.5,0.015,19.264395084428777,14.885302648795825,1.8834781074690299,-0.16058674173817528
Round1,5.0,5.0,0.2,1.5,0.012,19.263521546254875,14.862709507994762,1.8838388398288908,-0.16119837960165784
Round1,5.0,5.0,0.2,1.5,0.015,19.229933496672906,14.593216748290136,2.099258048989242,-0.20020883354922472
Round1,3.0,5.0,0.1,1.5,0.02,19.229153889010497,14.818031284070289,1.8818306617353544,-0.16160613817731223
Round1,4.0,5.0,0.1,1.5,0.015,19.18313120534773,14.75438967398689,1.8784006773542195,-0.16211583639688068
Round1,5.0,5.0,0.1,1.5,0.012,19.168602621472758,14.729506350985632,1.8765665279198478,-0.16224018237452673
Round1,2.5,5.0,0.2,1.5,0.02,19.146026949228812,14.340755964982272,1.6043759984031616,-0.13233209413436225
Round1,5.0,5.0,0.1,1.5,0.015,19.12518912165868,14.459390129253336,2.0895139185372753,-0.20144961788090499
Round1,2.5,5.0,0.3,1.5,0.015,19.04050784218782,13.625073422698742,1.1894085503015743,-0.09811556296198232
Round1,2.0,5.0,0.2,1.5,0.02,19.031449542041486,13.765553874215152,1.2744134539861776,-0.10556669966413873
Round2,2.5,5.0,0.3,1.5,0.02,18.53340200956997,19.746007155775217,1.4601719516408296,-0.08456321039770139
Round2,3.0,5.0,0.3,1.5,0.02,18.436324819138992,20.11966505615414,1.7258541276714872,-0.0946543180922186
Round2,4.0,5.0,0.3,1.5,0.015,18.363572874893627,19.951891094824347,1.7147996223950353,-0.0943556541594895
Round2,2.5,5.0,0.2,1.5,0.02,18.334229203966725,19.659924927178857,1.44741361156658,-0.08410616129309245
Round2,3.0,5.0,0.2,1.5,0.02,18.31859135058749,19.87085957022076,1.7079309737430526,-0.09420797189617248
Round2,5.0,5.0,0.2,1.5,0.012,18.301396405413193,19.706136291714316,1.692495621571536,-0.09399479982600818
Round2,5.0,5.0,0.3,1.5,0.012,18.291710975455572,19.807504177037195,1.7021055890620551,-0.09408982182509065
Round2,4.0,5.0,0.2,1.5,0.015,18.287331760711837,19.73435080521586,1.6948878634488551,-0.0940001521271088
Round2,3.0,5.0,0.1,1.5,0.02,18.278391817145327,19.699152075275865,1.692668335820458,-0.09399479982600824
Round2,2.5,5.0,0.3,1.4,0.02,18.243016318861486,20.229459520350503,1.386518449799111,-0.07741737677361538
Round2,4.0,5.0,0.3,1.4,0.015,18.240718394712886,20.49264132836553,1.6288368674903224,-0.08598695015473565
Round2,2.5,5.0,0.1,1.5,0.02,18.229741209501775,19.40033066130755,1.427372717686929,-0.08372741110995141
Round2,5.0,5.0,0.2,1.5,0.01,18.22526310957032,19.400408715431745,1.4273793853170353,-0.0837274111099512
Round2,5.0,5.0,0.3,1.5,0.01,18.2225823767739,19.491785590354063,1.4348174582772453,-0.0838074847752243
Round2,4.0,5.0,0.1,1.5,0.015,18.220174266949016,19.722679976248266,1.695361032992965,-0.09399479982600865
Round2,3.0,5.0,0.3,1.4,0.02,18.21433849689135,20.673241397031283,1.6395413374566727,-0.0862883739236649
Round2,3.0,5.0,0.2,1.4,0.02,18.17441464812766,20.408019569829115,1.6221857111186964,-0.08583790321757728
Round2,5.0,5.0,0.1,1.5,0.012,18.173842526630132,19.72632877745233,1.6956622092111786,-0.0939947998260082
Round2,5.0,5.0,0.1,1.5,0.01,18.144351782817722,19.41942617274246,1.4297444289177035,-0.08372741110995138
Round2,5.0,5.0,0.3,1.4,0.012,18.13250332411799,20.342401001679196,1.616544784292865,-0.08571866136805309
Round3,5.0,5.0,0.3,1.5,0.02,19.448070777537826,3.2092308486492582,0.7577548982508717,-0.22706963461525617
Round3,5.0,5.0,0.2,1.5,0.02,19.427060144928667,3.257275811130483,0.7675289868573951,-0.22665131688049808
Round3,5.0,5.0,0.1,1.5,0.02,19.301882103661853,3.272128483454481,0.7708312746854675,-0.22665131688049847
Round3,5.0,5.0,0.3,1.5,0.015,19.28118597113818,3.284521911146389,0.7124126580282619,-0.18724349724198466
Round3,5.0,5.0,0.2,1.5,0.015,19.229933496672906,3.321141317813966,0.7194796164211432,-0.18705879812045795
Round3,5.0,5.0,0.1,1.5,0.015,19.12518912165868,3.331373245257271,0.7218693155841511,-0.1870587981204582
Round3,4.0,5.0,0.2,1.5,0.02,18.96971550454736,3.4049337316994865,0.7449686024279956,-0.18759292062728947
Round3,4.0,5.0,0.1,1.5,0.02,18.91470882229835,3.4250033899339236,0.7494682128653609,-0.18759292062728972
Round3,4.0,5.0,0.3,1.5,0.02,18.878965809131735,3.3035509197872566,0.7300755742437586,-0.18912156493604815
Round3,3.0,5.0,0.3,1.5,0.02,18.469567539041243,3.0023465592197507,0.5803534026058728,-0.16911005471087218
Round3,2.5,5.0,0.3,1.5,0.02,18.291061174792016,2.981588979619305,0.4850980966783889,-0.1427261534060917
Round3,2.0,5.0,0.3,1.5,0.02,18.203046830897645,2.996883201046857,0.39551859653272703,-0.11607741440682996
Round3,3.0,5.0,0.3,1.4,0.02,18.069955813144,2.9080075424286194,0.5325121823424173,-0.16001206793371295
Round3,4.0,5.0,0.3,1.5,0.015,18.039139814239125,3.0656317517742435,0.5846835507891632,-0.16706378127196014
Round3,3.0,5.0,0.2,1.5,0.02,17.945304500568128,3.0940292358218797,0.5885998276072475,-0.16706378127196003
Round3,2.5,5.0,0.3,1.4,0.02,17.89329265629423,2.892860246533333,0.445545944203934,-0.13513274537318753
Round3,5.0,5.0,0.3,1.5,0.012,17.89062990402157,3.1136174366371825,0.5915488115654433,-0.16706378127195967
Round3,5.0,5.0,0.2,1.5,0.012,17.886769283430958,3.1406916933436455,0.5967701925570177,-0.16706378127195953
Round3,3.0,5.0,0.1,1.5,0.02,17.88269482534308,3.1412696096176953,0.5970651981873984,-0.16706378127195992
Round3,4.0,5.0,0.1,1.5,0.015,17.874925002789016,3.144453487579379,0.597864949603198,-0.16706378127195998
Round4,5.0,5.0,0.3,1.5,0.02,16.502886627375037,82.22754240979218,11.355222959091575,-0.13809512757296422
Round4,2.5,5.0,0.3,1.5,0.02,16.344692697069956,54.703927164162145,5.895034287678235,-0.10776254271448747
Round4,2.5,5.0,0.2,1.5,0.02,16.343217887166226,55.13902282757964,5.9499229871000585,-0.10790766107164315
Round4,5.0,5.0,0.2,1.5,0.02,16.326009113423297,81.21631638112588,11.275935863771217,-0.1388383069586208
Round4,4.0,5.0,0.3,1.5,0.015,16.32522283873233,64.18812525784735,7.52743478902382,-0.11727145416361183
Round4,3.0,5.0,0.3,1.5,0.02,16.289425232020307,63.76343688244281,7.470764155622808,-0.11716376219488059
Round4,3.0,5.0,0.2,1.5,0.02,16.267579218302533,64.18147243846633,7.528958546261702,-0.11730735148652213
Round4,4.0,5.0,0.3,1.5,0.012,16.22395741501123,51.991705711758,5.513973349253023,-0.10605486536299634
Round4,5.0,5.0,0.3,1.5,0.01,16.222562348309914,55.15739654706756,5.9572904797004735,-0.10800528764291709
Round4,5.0,5.0,0.3,1.5,0.012,16.22184687941035,64.08552942289448,7.521617694803172,-0.11736842564206207
Round4,4.0,5.0,0.2,1.5,0.015,16.15328166732801,63.53376266786085,7.492156745413457,-0.11792402072234634
Round4,5.0,5.0,0.2,1.5,0.01,16.120174663477467,54.76494746596752,5.936083344854748,-0.1083920211654288
Round4,2.5,5.0,0.1,1.5,0.02,16.11493091117388,54.700363751423886,5.929082985500992,-0.1083920211654288
Round4,5.0,5.0,0.2,1.5,0.012,16.094158627443143,63.548494933194135,7.487735973734351,-0.11782711741019034
Round4,5.0,5.0,0.1,1.5,0.02,16.088101471986974,81.09746692150158,11.23385424168886,-0.13852287461164092
Round4,4.0,5.0,0.2,1.5,0.012,16.086407903219644,51.51798190032704,5.490865982904176,-0.10658154260637527
Round4,3.0,5.0,0.3,1.5,0.015,16.081546253004348,46.37902654520948,4.771084528065446,-0.10287159700117196
Round4,3.0,5.0,0.1,1.5,0.02,16.024566234681437,63.46157492972076,7.473395164071688,-0.11776252279190909
Round4,2.0,5.0,0.3,1.5,0.02,15.9752114319204,41.33612069419714,3.785464667897571,-0.09157764696649397
Round4,3.0,5.0,0.2,1.5,0.015,15.97263886002986,46.61348704694464,4.800305641569001,-0.10298104573756932
