週,week_label,week_start,week_end,days,weekly_return,win_days,avg_daily,cumulative_capital,cumulative_pnl_pct
1,2025-W06,2025-02-07,2025-02-07,1,-0.003871763770866732,0,-0.0038717637708667796,996128,-0.3872
2,2025-W07,2025-02-10,2025-02-14,4,0.010322966450222903,2,0.0026162600033874275,1006411,0.6411
3,2025-W08,2025-02-18,2025-02-21,4,0.01640762420160713,3,0.004083390829992348,1022924,2.2923999999999998
4,2025-W09,2025-02-25,2025-02-28,4,0.05164530373165244,3,0.012704183133703827,1075753,7.5753
5,2025-W10,2025-03-03,2025-03-07,5,0.024164720102960002,4,0.004823222362638177,1101749,10.174900000000001
6,2025-W11,2025-03-10,2025-03-14,5,-0.006493880295842525,3,-0.0012934214784845958,1094594,9.4594
7,2025-W12,2025-03-17,2025-03-21,4,0.020202409584759273,3,0.005042368366686452,1116707,11.6707
8,2025-W13,2025-03-24,2025-03-28,5,0.01437962481705135,3,0.002876167928894312,1132765,13.276499999999999
9,2025-W14,2025-03-31,2025-04-04,5,0.04805345103772085,4,0.009689634532057456,1187198,18.7198
10,2025-W15,2025-04-07,2025-04-11,5,-0.05689960965026841,2,-0.011473942837039695,1119647,11.9647
11,2025-W16,2025-04-14,2025-04-17,4,-0.005985074094157161,2,-0.0013504959189417657,1112946,11.2946
12,2025-W17,2025-04-21,2025-04-25,5,-0.0042930834712658905,3,-0.000835950270075593,1108168,10.8168
13,2025-W18,2025-04-28,2025-05-02,4,-0.01014650197042588,1,-0.0025253928077113665,1096924,9.6924
14,2025-W19,2025-05-07,2025-05-09,3,0.025189127136007627,2,0.008424083297242783,1124555,12.4555
15,2025-W20,2025-05-12,2025-05-16,5,0.014199344623144095,4,0.0028646285771860907,1140523,14.0523
16,2025-W21,2025-05-19,2025-05-23,5,-0.001433774917556141,3,-0.00021903407052405126,1138887,13.888700000000002
17,2025-W22,2025-05-27,2025-05-30,4,0.0005573416111648299,1,0.0001589850316550752,1139522,13.952200000000001
18,2025-W23,2025-06-02,2025-06-06,5,0.009417193847404581,3,0.0018811119775800917,1150253,15.0253
19,2025-W24,2025-06-09,2025-06-13,5,-0.008133223116244426,2,-0.0016189885188813216,1140898,14.0898
20,2025-W25,2025-06-16,2025-06-20,4,-0.006845389568076454,1,-0.0016926593796719408,1133088,13.308800000000002
21,2025-W26,2025-06-23,2025-06-27,5,0.003444987573624214,2,0.0006967246246177366,1136992,13.699200000000001
22,2025-W27,2025-06-30,2025-07-03,4,0.023459688322458927,3,0.005821663574387412,1163665,16.366500000000002
23,2025-W28,2025-07-07,2025-07-11,5,-0.01557896699889294,2,-0.0031050149087386686,1145536,14.5536
24,2025-W29,2025-07-14,2025-07-18,5,-0.013455120622444472,1,-0.002700033796635444,1130123,13.0123
25,2025-W30,2025-07-22,2025-07-25,4,0.010039372150272063,3,0.0025213280301592585,1141469,14.1469
26,2025-W31,2025-07-28,2025-08-01,5,-0.00446174264366761,3,-0.0008611417772970177,1136376,13.637599999999999
27,2025-W32,2025-08-04,2025-08-08,5,-0.006677077944322596,3,-0.0013306044572384645,1128788,12.878800000000002
28,2025-W33,2025-08-12,2025-08-15,4,0.022454769034513378,2,0.005613697138662891,1154135,15.413499999999999
29,2025-W34,2025-08-18,2025-08-22,5,0.020015669917599288,3,0.004005026374776481,1177236,17.7236
30,2025-W35,2025-08-25,2025-08-29,5,0.011246487803735272,3,0.002248315432453887,1190475,19.0475
31,2025-W36,2025-09-02,2025-09-05,4,0.018002518792380906,3,0.0044813210797055815,1211907,21.1907
32,2025-W37,2025-09-08,2025-09-12,5,-0.011209915713142227,3,-0.0022398014820811498,1198322,19.8322
33,2025-W38,2025-09-16,2025-09-19,4,0.004226660495197931,3,0.001060291837596966,1203386,20.3386
34,2025-W39,2025-09-22,2025-09-26,4,-0.022059450325394914,0,-0.005544943806378436,1176840,17.684
35,2025-W40,2025-09-29,2025-10-03,5,-0.025493076720377816,2,-0.005117790982552525,1146839,14.6839
36,2025-W41,2025-10-06,2025-10-10,5,0.024907900919540538,3,0.004972414650374119,1175404,17.5404
37,2025-W42,2025-10-14,2025-10-17,4,0.05161309234665401,4,0.012666157361321949,1236071,23.6071
38,2025-W43,2025-10-20,2025-10-23,4,-0.0025363820053018182,1,-0.0005920773756611026,1232936,23.2936
39,2025-W44,2025-10-27,2025-10-31,5,0.005210148898886047,3,0.0011337944406645969,1239359,23.9359
40,2025-W45,2025-11-04,2025-11-07,4,0.0018749130958775062,2,0.000497188204844973,1241683,24.168300000000002
41,2025-W46,2025-11-10,2025-11-14,5,-0.03511409311054636,2,-0.007078099575746205,1198082,19.8082
42,2025-W47,2025-11-17,2025-11-21,5,0.023459566948628607,4,0.004699809963099865,1226189,22.6189
43,2025-W48,2025-11-25,2025-11-28,3,-0.008241923414635699,1,-0.0027520010519653214,1216083,21.6083
44,2025-W49,2025-12-01,2025-12-05,5,0.014192484199681665,4,0.002831093427300512,1233342,23.3342
45,2025-W50,2025-12-08,2025-12-12,5,0.021379210484914424,4,0.004268681902201734,1259710,25.971
46,2025-W51,2025-12-15,2025-12-19,5,-0.00619474742436299,2,-0.0012206559691212663,1251906,25.190600000000003
47,2025-W52,2025-12-22,2025-12-26,4,0.0041024225322412455,1,0.0010589572914085493,1257042,25.7042
48,2025-W01,2025-12-29,2025-12-30,2,0.007992860488524212,2,0.003993756722854012,1267090,26.709
49,2026-W02,2026-01-05,2026-01-09,5,0.012806555826850197,3,0.0025715110965354483,1283317,28.331699999999998
50,2026-W03,2026-01-13,2026-01-16,4,-0.003201760976294099,2,-0.0007456866624505785,1279208,27.9208
51,2026-W04,2026-01-20,2026-01-23,4,-0.02662038286989976,1,-0.0066891005582583075,1245155,24.515500000000003
52,2026-W05,2026-01-26,2026-01-30,5,-0.04195937003723682,1,-0.008510052931608409,1192909,19.2909
53,2026-W06,2026-02-02,2026-02-06,5,-0.03973028598454076,1,-0.007912467845896493,1145514,14.551400000000001
54,2026-W07,2026-02-09,2026-02-13,4,0.051570697669194754,3,0.012807175080155003,1204589,20.4589
55,2026-W08,2026-02-17,2026-02-20,4,0.016708220354219927,3,0.004164925608549004,1224716,22.4716
56,2026-W09,2026-02-24,2026-02-27,4,-0.00561606637459422,2,-0.0013789140992435992,1217838,21.7838
57,2026-W10,2026-03-02,2026-03-06,5,-0.009121764774385754,2,-0.001784379791651965,1206729,20.6729
58,2026-W11,2026-03-09,2026-03-13,5,0.016788221585223306,3,0.003403846561520335,1226988,22.6988
59,2026-W12,2026-03-16,2026-03-19,4,0.026523389315598944,4,0.006573336152657276,1259532,25.9532
