date,us_cc_materials,us_cc_communication,us_cc_energy,us_cc_financials,us_cc_industrials,us_cc_tech,us_cc_staples,us_cc_realestate,us_cc_utilities,us_cc_healthcare,us_cc_discretionary
2021-04-20,-0.004597,-0.005596,-0.001033,-0.002825,-0.004153,-0.008304,-0.003868,0.00314,-0.005059,0.000247,-0.01123
2021-04-21,-0.009601,-0.005366,-0.026473,-0.018697,-0.011021,-0.008866,0.005464,0.011076,0.012711,0.003868,-0.012595
2021-04-22,0.018162,0.00171,0.012747,0.013857,0.013653,0.010082,0.005006,0.004525,-0.008417,0.011805,0.013325
2021-04-23,-0.016874,-0.007356,-0.011747,-0.011105,-0.005051,-0.011739,-0.0074,-0.004268,-0.007148,-0.004456,-0.01107
2021-04-26,0.016428,0.011645,0.009128,0.018716,0.01095,0.014937,-0.00258,0.005714,-0.00135,0.006592,0.010456
2021-04-27,0.00591,0.002092,0.006731,0.003957,-0.002954,0.005115,-0.011212,0.002131,-0.005708,-0.003396,0.004386
2021-04-28,-0.002638,-0.004046,0.012119,0.007883,0.008295,-0.00244,-0.000727,0.0,-0.007704,-0.00576,-0.001176
2021-04-30,0.002765,0.009174,0.034476,0.00391,-0.002057,-0.009295,0.000727,-0.003544,-0.00137,-0.003019,-0.001177
2021-05-06,-0.010604,-0.013648,-0.025261,-0.008748,-0.006627,-0.013627,0.000863,0.00659,0.007855,-0.002959,0.003871
2021-05-07,0.008461,0.01172,0.005151,0.014853,0.006954,0.010038,0.012905,0.0048,0.007652,0.0013,0.002163
2021-05-10,0.009884,0.007595,0.01784,0.005322,0.010552,0.00856,0.0,0.012184,0.003038,0.006898,0.008976
2021-05-11,-0.004438,-0.019162,0.000373,-0.000794,0.000949,-0.025246,0.007645,0.004484,0.010145,0.00129,-0.017791
2021-05-12,0.003315,-0.002866,-0.025722,-0.017748,-0.014794,-0.003025,-0.00871,-0.011748,-0.012292,-0.010786,-0.011292
2021-05-13,-0.025179,-0.019592,0.004783,-0.010248,-0.023968,-0.028125,-0.013322,-0.024251,-0.023372,-0.009439,-0.033857
2021-05-14,0.015311,0.007194,-0.012186,0.016076,0.018738,0.013251,0.014076,0.012671,0.01927,0.009036,0.007081
2021-05-17,0.011972,0.019709,0.031033,0.015822,0.013843,0.022022,0.004391,0.009384,0.004879,0.005047,0.017339
2021-05-18,0.008759,-0.007913,0.023182,0.001848,-0.003056,-0.007354,-0.00141,0.000477,-0.008193,-0.001863,-0.001816
2021-05-19,-0.011051,-0.010198,-0.023205,-0.013966,-0.014558,-0.008001,-0.003107,0.001906,-0.000153,0.000325,-0.007804
2021-05-20,-0.015279,0.001585,-0.024878,-0.006147,-0.005637,0.00351,-0.003258,-0.003805,-0.001683,-0.001704,-0.008397
2021-05-21,0.000579,0.017146,-0.001535,0.000538,0.002248,0.019126,0.009238,0.012414,0.008736,0.010484,0.010258
2021-05-24,0.002199,-0.003372,0.002114,0.009943,0.004876,-0.005477,0.000141,-0.001651,0.005166,0.000161,-0.005018
2021-05-25,0.008891,0.018215,0.009969,0.00479,0.006211,0.017769,0.002957,0.010864,-0.001814,0.000965,0.009908
2021-05-26,-0.00847,-0.000256,-0.020311,-0.010064,-0.00299,0.000288,0.000281,0.002804,-0.012114,-0.002972,0.003172
2021-05-27,0.000347,0.006519,0.008913,0.002943,0.003192,-7.2e-05,-0.002105,0.00233,0.000153,-0.005801,0.009546
2021-05-28,0.007962,0.00381,0.000768,0.01147,0.013693,-0.005265,-0.006188,-0.001162,-0.006743,-0.002188,0.004002
2021-06-01,-0.00103,-0.003289,0.001919,0.001846,0.0,0.003553,0.002123,0.006749,0.0054,0.003899,-0.001387
2021-06-02,0.013981,0.000635,0.038498,0.006054,0.0039,-0.004913,-0.003389,0.017106,-0.006139,-0.016424,-0.001909
2021-06-03,-0.008363,-0.003044,0.018628,0.00157,-0.002843,0.006898,0.003684,0.013863,0.00525,-0.001974,-0.004637
2021-06-04,-0.000228,-0.006743,0.002716,0.002351,-0.002186,-0.009302,0.006212,-0.002017,0.005991,0.00305,-0.011881
2021-06-07,0.002166,0.014346,0.006681,0.002606,0.003238,0.019216,0.003508,0.000898,-0.001527,0.003205,0.008015
2021-06-08,-0.012172,0.005177,-0.004305,-0.006499,-0.00693,-0.000214,-0.001678,0.009425,0.001835,0.003604,0.0
2021-06-09,0.001842,-0.002889,0.008647,-0.002616,0.002581,7.2e-05,-0.008403,0.005336,-0.008548,-0.003101,0.008069
