date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2021-04-20,-0.000735,-0.009503,-0.008768,-0.009503,999265.0,990497.0,-735.0,-0.000735,0,0.0,0.0,1
2021-04-21,0.004149,-0.001815,-0.005964,-0.001815,1003410.0,988699.0,3410.0,0.00341,1,0.5,0.5,2
2021-04-22,-0.00598,-0.0015,0.00448,-0.0015,997410.0,987216.0,-2590.0,-0.00259,0,0.3333,0.3333,3
2021-04-23,0.003364,0.003828,0.000464,0.003828,1000765.0,990995.0,765.0,0.000765,1,0.5,0.5,4
2021-04-26,0.001845,-0.00215,-0.003995,-0.00215,1002611.0,988864.0,2611.0,0.002611,1,0.6,0.6,5
2021-04-27,0.011998,0.001902,-0.010096,0.001902,1014641.0,990745.0,14641.0,0.014641,1,0.6667,0.6667,6
2021-04-28,0.006097,0.00736,0.001263,0.00736,1020827.0,998037.0,20827.0,0.020827,1,0.7143,0.7143,7
2021-04-30,-0.004641,-0.00778,-0.003139,-0.00778,1016090.0,990273.0,16090.0,0.01609,0,0.625,0.625,8
2021-05-06,-0.001519,0.007592,0.009111,0.007592,1014546.0,997791.0,14546.0,0.014546,0,0.5556,0.5556,9
2021-05-07,0.005723,0.000564,-0.005158,0.000564,1020352.0,998354.0,20352.0,0.020352,1,0.6,0.6,10
2021-05-10,0.004009,0.008696,0.004687,0.008696,1024443.0,1007035.0,24443.0,0.024443,1,0.6364,0.6364,11
2021-05-11,0.009334,-0.003845,-0.013179,-0.003845,1034004.0,1003163.0,34004.0,0.034004,1,0.6667,0.6667,12
2021-05-12,0.021179,-0.004312,-0.025491,-0.004312,1055904.0,998838.0,55904.0,0.055904,1,0.6923,0.6923,13
2021-05-13,-0.001791,-0.002702,-0.000911,-0.002702,1054013.0,996140.0,54013.0,0.054013,0,0.6429,0.6429,14
2021-05-14,0.011351,0.003414,-0.007937,0.003414,1065977.0,999541.0,65977.0,0.065977,1,0.6667,0.6667,15
2021-05-17,-0.010811,-0.011122,-0.000311,-0.011122,1054452.0,988424.0,54452.0,0.054452,0,0.625,0.625,16
2021-05-18,0.009552,0.010032,0.00048,0.010032,1064524.0,998339.0,64524.0,0.064524,1,0.6471,0.6471,17
