date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2010-04-07,0.00872,0.00989,0.00117,0.00989,1008720.0,1008720.0,8720.0,0.00872,1,1.0,1.0,1
2010-04-08,0.006622,0.005282,-0.00134,0.005282,1015400.0,1015400.0,15400.0,0.0154,1,1.0,1.0,2
2010-04-09,0.002897,0.001754,-0.001144,0.001754,1018341.0,1018341.0,18341.0,0.018341,1,1.0,1.0,3
2010-04-12,-0.007187,-0.001414,0.005773,-0.001414,1011023.0,1011023.0,11023.0,0.011023,0,0.75,0.75,4
2010-04-13,0.00107,-0.005325,-0.006396,-0.005325,1012105.0,1012105.0,12105.0,0.012105,1,0.8,0.8,5
2010-04-14,-0.005699,-0.005994,-0.000295,-0.005994,1006337.0,1006337.0,6337.0,0.006337,0,0.6667,0.6667,6
2010-04-15,0.003529,0.003256,-0.000273,0.003256,1009888.0,1009888.0,9888.0,0.009888,1,0.7143,0.7143,7
2010-04-16,0.007073,-0.002657,-0.00973,-0.002657,1017031.0,1017031.0,17031.0,0.017031,1,0.75,0.75,8
2010-04-19,-0.00457,-0.001447,0.003124,-0.001447,1012383.0,1012383.0,12383.0,0.012383,0,0.6667,0.6667,9
2010-04-20,0.010866,-0.00046,-0.011326,-0.00046,1023383.0,1023383.0,23383.0,0.023383,1,0.7,0.7,10
2010-04-21,-0.004332,0.001005,0.005337,0.001005,1018950.0,1018950.0,18950.0,0.01895,0,0.6364,0.6364,11
2010-04-22,0.008765,0.004955,-0.00381,0.004955,1027881.0,1027881.0,27881.0,0.027881,1,0.6667,0.6667,12
2010-04-23,0.000451,0.001601,0.00115,0.001601,1028345.0,1028345.0,28345.0,0.028345,1,0.6923,0.6923,13
2010-04-26,0.007267,0.006582,-0.000685,0.006582,1035818.0,1035818.0,35818.0,0.035818,1,0.7143,0.7143,14
2010-04-27,0.004846,0.001472,-0.003374,0.001472,1040838.0,1040838.0,40838.0,0.040838,1,0.7333,0.7333,15
2010-04-28,0.003766,0.003163,-0.000603,0.003163,1044757.0,1044757.0,44757.0,0.044757,1,0.75,0.75,16
2010-04-30,0.008195,0.000614,-0.007582,0.000614,1053320.0,1053320.0,53320.0,0.05332,1,0.7647,0.7647,17
2010-05-06,-0.013114,-0.006958,0.006156,-0.006958,1039507.0,1039507.0,39507.0,0.039507,0,0.7222,0.7222,18
2010-05-07,0.007308,0.007108,-0.0002,0.007108,1047104.0,1047104.0,47104.0,0.047104,1,0.7368,0.7368,19
2010-05-10,0.01235,0.020816,0.008466,0.020816,1060036.0,1060036.0,60036.0,0.060036,1,0.75,0.75,20
2010-05-11,0.001626,-0.000935,-0.00256,-0.000935,1061759.0,1061759.0,61759.0,0.061759,1,0.7619,0.75,21
2010-05-12,0.003985,0.00365,-0.000335,0.00365,1065990.0,1065990.0,65990.0,0.06599,1,0.7727,0.75,22
2010-05-13,-0.011763,-0.003705,0.008059,-0.003705,1053450.0,1053450.0,53450.0,0.05345,0,0.7391,0.7,23
2010-05-14,0.005849,0.004351,-0.001497,0.004351,1059612.0,1059612.0,59612.0,0.059612,1,0.75,0.75,24
2010-05-17,-0.015855,-0.011989,0.003866,-0.011989,1042812.0,1042812.0,42812.0,0.042812,0,0.72,0.7,25
2010-05-18,0.015926,-3.6e-05,-0.015962,-3.6e-05,1059419.0,1059419.0,59419.0,0.059419,1,0.7308,0.75,26
2010-05-19,0.005472,0.006658,0.001185,0.006658,1065217.0,1065217.0,65217.0,0.065217,1,0.7407,0.75,27
2010-05-20,-0.001341,-0.0017,-0.00036,-0.0017,1063789.0,1063789.0,63789.0,0.063789,0,0.7143,0.7,28
2010-05-21,0.015093,0.00966,-0.005433,0.00966,1079844.0,1079844.0,79844.0,0.079844,1,0.7241,0.75,29
2010-05-24,0.004283,0.000894,-0.003389,0.000894,1084469.0,1084469.0,84469.0,0.084469,1,0.7333,0.75,30
2010-05-25,0.016053,-0.002625,-0.018678,-0.002625,1101878.0,1101878.0,101878.0,0.101878,1,0.7419,0.8,31
