date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2010-04-07,0.004913,0.008293,0.00338,0.008293,1004913.0,1004913.0,4913.0,0.004913,1,1.0,1.0,1
2010-04-08,0.032872,0.012869,-0.020004,0.012869,1037947.0,1037947.0,37947.0,0.037947,1,1.0,1.0,2
2010-04-09,-0.002826,-0.000198,0.002628,-0.000198,1035013.0,1035013.0,35013.0,0.035013,0,0.6667,0.6667,3
2010-04-12,0.004804,0.009877,0.005073,0.009877,1039985.0,1039985.0,39985.0,0.039985,1,0.75,0.75,4
2010-04-13,-0.008734,-0.012265,-0.003531,-0.012265,1030902.0,1030902.0,30902.0,0.030902,0,0.6,0.6,5
2010-04-14,-0.001163,-0.001227,-6.3e-05,-0.001227,1029703.0,1029703.0,29703.0,0.029703,0,0.5,0.5,6
2010-04-15,0.008899,0.011369,0.00247,0.011369,1038866.0,1038866.0,38866.0,0.038866,1,0.5714,0.5714,7
2010-04-16,0.001189,-0.007473,-0.008661,-0.007473,1040102.0,1040102.0,40102.0,0.040102,1,0.625,0.625,8
2010-04-19,-0.015925,-0.011776,0.00415,-0.011776,1023538.0,1023538.0,23538.0,0.023538,0,0.5556,0.5556,9
2010-04-20,0.019753,0.005009,-0.014745,0.005009,1043756.0,1043756.0,43756.0,0.043756,1,0.6,0.6,10
2010-04-21,-0.005079,0.009441,0.01452,0.009441,1038455.0,1038455.0,38455.0,0.038455,0,0.5455,0.5455,11
2010-04-22,-0.010802,-0.005131,0.005671,-0.005131,1027237.0,1027237.0,27237.0,0.027237,0,0.5,0.5,12
2010-04-23,0.005259,0.006622,0.001363,0.006622,1032640.0,1032640.0,32640.0,0.03264,1,0.5385,0.5385,13
2010-04-26,0.007859,0.019771,0.011913,0.019771,1040755.0,1040755.0,40755.0,0.040755,1,0.5714,0.5714,14
2010-04-27,0.009279,-0.002586,-0.011864,-0.002586,1050411.0,1050411.0,50411.0,0.050411,1,0.6,0.6,15
2010-04-28,0.010593,0.008667,-0.001926,0.008667,1061538.0,1061538.0,61538.0,0.061538,1,0.625,0.625,16
2010-04-30,0.020314,0.007637,-0.012677,0.007637,1083103.0,1083103.0,83103.0,0.083103,1,0.6471,0.6471,17
2010-05-06,0.003569,-0.009319,-0.012888,-0.009319,1086968.0,1086968.0,86968.0,0.086968,1,0.6667,0.6667,18
2010-05-07,0.008281,0.011744,0.003463,0.011744,1095968.0,1095968.0,95968.0,0.095968,1,0.6842,0.6842,19
2010-05-10,0.04145,0.059471,0.018021,0.059471,1141396.0,1141396.0,141396.0,0.141396,1,0.7,0.7,20
2010-05-11,0.015344,-0.011813,-0.027157,-0.011813,1158910.0,1158910.0,158910.0,0.15891,1,0.7143,0.7,21
2010-05-12,0.014895,0.013393,-0.001503,0.013393,1176172.0,1176172.0,176172.0,0.176172,1,0.7273,0.7,22
2010-05-13,-0.013397,-0.009672,0.003725,-0.009672,1160415.0,1160415.0,160415.0,0.160415,0,0.6957,0.7,23
2010-05-14,0.00219,0.001232,-0.000958,0.001232,1162956.0,1162956.0,162956.0,0.162956,1,0.7083,0.7,24
2010-05-17,0.002722,-0.017096,-0.019818,-0.017096,1166122.0,1166122.0,166122.0,0.166122,1,0.72,0.75,25
2010-05-18,0.018183,0.002041,-0.016142,0.002041,1187325.0,1187325.0,187325.0,0.187325,1,0.7308,0.8,26
2010-05-19,0.021302,0.015032,-0.00627,0.015032,1212617.0,1212617.0,212617.0,0.212617,1,0.7407,0.8,27
2010-05-20,-0.002653,0.000478,0.003131,0.000478,1209401.0,1209401.0,209401.0,0.209401,0,0.7143,0.75,28
2010-05-21,-0.006119,0.001026,0.007145,0.001026,1202001.0,1202001.0,202001.0,0.202001,0,0.6897,0.75,29
2010-05-24,0.0227,0.01533,-0.007369,0.01533,1229286.0,1229286.0,229286.0,0.229286,1,0.7,0.75,30
2010-05-25,0.016334,-0.005688,-0.022022,-0.005688,1249365.0,1249365.0,249365.0,0.249365,1,0.7097,0.8,31
2010-05-26,-0.014652,-0.01466,-7e-06,-0.01466,1231059.0,1231059.0,231059.0,0.231059,0,0.6875,0.8,32
2010-05-27,0.035276,0.037973,0.002697,0.037973,1274485.0,1274485.0,274485.0,0.274485,1,0.697,0.8,33
2010-05-28,-0.003441,-0.002277,0.001165,-0.002277,1270099.0,1270099.0,270099.0,0.270099,0,0.6765,0.75,34
2010-06-01,0.015066,0.011299,-0.003767,0.011299,1289235.0,1289235.0,289235.0,0.289235,1,0.6857,0.75,35
2010-06-02,0.014135,0.004677,-0.009458,0.004677,1307458.0,1307458.0,307458.0,0.307458,1,0.6944,0.75,36
2010-06-03,-0.015691,-0.003553,0.012138,-0.003553,1286942.0,1286942.0,286942.0,0.286942,0,0.6757,0.7,37
2010-06-04,0.019432,0.015752,-0.00368,0.015752,1311950.0,1311950.0,311950.0,0.31195,1,0.6842,0.7,38
2010-06-07,0.002593,-0.010578,-0.01317,-0.010578,1315352.0,1315352.0,315352.0,0.315352,1,0.6923,0.7,39
2010-06-08,0.000516,0.002511,0.001995,0.002511,1316030.0,1316030.0,316030.0,0.31603,1,0.7,0.7,40
2010-06-09,0.002233,-0.012313,-0.014546,-0.012313,1318969.0,1318969.0,318969.0,0.318969,1,0.7073,0.7,41
2010-06-10,0.003085,0.002404,-0.000681,0.002404,1323038.0,1323038.0,323038.0,0.323038,1,0.7143,0.7,42
2010-06-11,0.012673,-0.002971,-0.015644,-0.002971,1339805.0,1339805.0,339805.0,0.339805,1,0.7209,0.75,43
2010-06-14,0.007995,0.005139,-0.002857,0.005139,1350517.0,1350517.0,350517.0,0.350517,1,0.7273,0.75,44
2010-06-15,-0.003997,0.002066,0.006063,0.002066,1345119.0,1345119.0,345119.0,0.345119,0,0.7111,0.7,45
2010-06-16,-0.004841,-0.003977,0.000864,-0.003977,1338607.0,1338607.0,338607.0,0.338607,0,0.6957,0.65,46
2010-06-17,-0.002497,-0.001012,0.001485,-0.001012,1335265.0,1335265.0,335265.0,0.335265,0,0.6809,0.6,47
2010-06-18,0.011755,0.001209,-0.010545,0.001209,1350960.0,1350960.0,350960.0,0.35096,1,0.6875,0.65,48
