週開始日,現状_週間R,現状_勝日数,現状_取引日数,H+_週間R,平均シグナル強度,米国業種間ボラ,週番号,週末日,現状_累積資産(万円),H+_累積資産(万円),現状_勝率
2025-09-29,-0.02348614494864565,1,3,-0.032930308454889756,0.48032600000000003,0.0091414518158966,1,2025-10-03,97.65138550513544,96.70696915451101,33.3%
2025-10-06,0.02490781498516359,3,5,0.02818797370028925,0.23439899999999997,0.0065911870609249995,2,2025-10-10,100.08366814834224,99.43294265767305,60.0%
2025-10-13,0.05161451556846086,4,4,0.06541208092751583,0.25702,0.008393310585189176,3,2025-10-17,105.24943819613353,105.9370583496578,100.0%
2025-10-20,-0.0025370713481878138,1,4,-0.008674748850140634,0.1891395,0.00606638851420295,4,2025-10-24,104.98241286207323,105.01808097455182,25.0%
2025-10-27,0.003913400134478717,3,5,0.006758912487592195,0.153237,0.008662302553519399,5,2025-10-31,105.39325105068558,105.7278889934737,60.0%
2025-11-03,0.001875152084631182,2,4,0.0011710568915392905,0.20335025,0.0079064095302867,6,2025-11-07,105.59087942509933,105.8517023665074,50.0%
2025-11-10,-0.02807895951795325,2,5,-0.01459208353794772,0.11712879999999999,0.00821763116035146,7,2025-11-14,102.62599739625688,104.30710548294135,40.0%
2025-11-17,0.0213013833710618,4,5,0.08446306469870057,0.24377379999999998,0.008213714642015878,8,2025-11-21,104.81207311063213,113.11720328188122,80.0%
2025-11-24,-0.008241919284300292,1,3,-0.0040424366046359905,0.12212466666666667,0.007012744768828,9,2025-11-28,103.94822046403412,112.65993415872049,33.3%
2025-12-01,0.014192013105370771,4,5,0.02603067767263445,0.3041748,0.006488807025233539,10,2025-12-05,105.42345497113966,115.59254859142636,80.0%
2025-12-08,0.021379817499077136,4,5,0.0293991928653492,0.1579936,0.006488560813226479,11,2025-12-12,107.6773891985448,118.99087622126297,80.0%
2025-12-15,-0.00619546621866951,2,5,-0.012219172294380076,0.3402266,0.009429457047985859,12,2025-12-19,107.01027757125068,117.53690620325611,40.0%
2025-12-22,0.004770092752145905,1,4,-0.005089779838349129,0.22934175,0.0050410301306993005,13,2025-12-26,107.52072652069842,116.93866922780084,25.0%
2025-12-29,0.007226785191999818,2,2,0.002166730600860145,0.015555,0.0041879810685810995,14,2026-01-02,108.29775571495126,117.19204382084058,100.0%
2026-01-05,0.012806000624383085,3,5,0.014170663236359626,0.49715040000000005,0.01036254888511428,15,2026-01-09,109.68461684225623,118.85273280780642,60.0%
2026-01-12,-0.0032020149119555974,2,4,5.542031677707726e-05,0.12713875,0.008485388014553799,16,2026-01-16,109.33340506351519,118.85931966390845,50.0%
2026-01-19,-0.02662096871890518,1,4,-0.042152685937556944,0.24634925,0.00816783112769785,17,2026-01-23,106.42284390738796,113.84908009136403,25.0%
2026-01-26,-0.04195910642231038,1,5,-0.061630705329357105,0.23518,0.0076761941564770396,18,2026-01-30,101.95743647411294,106.83248098423479,20.0%
2026-02-02,-0.03972995359188036,1,5,-0.13069313426916118,0.41068540000000003,0.012690149427434062,19,2026-02-06,97.90667225464934,92.87020920265458,20.0%
2026-02-09,0.046772336672053605,3,4,0.13984648414563305,0.2980775,0.010549785021505824,20,2026-02-13,102.48599609178422,105.85778144151524,75.0%
2026-02-16,0.016708521901510398,3,4,0.01641605848147565,0.257672,0.0083875023006119,21,2026-02-20,104.1983856020819,107.59554897237841,75.0%
2026-02-23,-0.005615411686873628,2,4,-0.000591709686543207,0.19119575,0.006938646421220625,22,2026-02-27,103.6132687698186,107.53188364382254,50.0%
2026-03-02,-0.009121862633440836,2,5,0.023120422030118437,0.2938692,0.00965306584302992,23,2026-03-06,102.66812276509853,110.0180661753613,40.0%
2026-03-09,0.01678798865473552,3,5,-0.005403911899757308,0.2271702,0.008041386366002299,24,2026-03-13,104.391714045282,109.42353823836797,60.0%
2026-03-16,0.03183969826305999,4,4,0.02165429382982831,0.212812,0.00559828791804895,25,2026-03-20,107.71551472164742,111.79302768728104,100.0%
