ticker,sector,sector_name,long_days,short_days,total_days,oc_return_sum,avg_daily_return_pct,profit_yen
6113,machinery,機械,27,28,55,0.16904363790373916,0.3073520689158894,169043.63790373917
5713,steel,鉄鋼非鉄,20,28,48,0.12015404311077846,0.25032092314745513,120154.04311077845
9984,it_services,情報通信,34,31,65,0.0927486114203817,0.14269017141597184,92748.6114203817
8053,trading,商社卸売,1414,1487,2901,2.720579740145146,0.09378075629593746,2720579.740145146
8725,finance,金融,28,31,59,0.04660391024516108,0.07898967838162894,46603.910245161074
7282,auto,自動車,1376,1354,2730,1.910874951034146,0.06999541945180023,1910874.9510341461
8354,banks,銀行,1267,1302,2569,1.6715080989720628,0.06506454258357582,1671508.0989720628
4536,pharma,医薬品,1507,1447,2954,1.9142310803715055,0.06480132296450594,1914231.0803715056
6971,electronics,電機精密,18,21,39,0.024617125507369095,0.06312083463427973,24617.125507369095
5020,energy,エネルギー,1447,1458,2905,1.522460960569415,0.052408294683972984,1522460.960569415
2587,food,食品,1210,1209,2419,0.37597388522005654,0.015542533494008125,375973.8852200565
9501,utilities,電力ガス,1254,1257,2511,0.015669129862966258,0.0006240195086804563,15669.129862966258
2780,retail,小売,1422,1363,2785,-0.32169377795971554,-0.011550943553311151,-321693.7779597155
5233,construction,建設,26,28,54,-0.07032302983367651,-0.13022783302532687,-70323.02983367651
8984,realestate,不動産,37,41,78,-0.17307113209037236,-0.22188606678252867,-173071.13209037235
9308,transport,運輸物流,34,32,66,-0.1505759376434392,-0.228145360065817,-150575.93764343922
4004,materials,素材化学,33,22,55,-0.1953127750489202,-0.35511413645258216,-195312.7750489202
