year,ticker,sector,sector_name,long_days,short_days,total_days,total_return,avg_daily_pct
2010,2587,food,食品,35,43,78,0.025098000000000002,0.032176923076923075
2010,5020,energy,エネルギー,61,47,108,0.20256900000000003,0.18756388888888892
2010,4004,materials,素材化学,1,0,1,0.024888,2.4888
2010,4536,pharma,医薬品,73,82,155,0.05025399999999998,0.032421935483870956
2010,7282,auto,自動車,82,71,153,0.25127,0.16422875816993462
2010,5713,steel,鉄鋼非鉄,2,2,4,0.022706999999999998,0.5676749999999999
2010,6113,machinery,機械,1,1,2,0.011367,0.56835
2010,9501,utilities,電力ガス,70,80,150,0.020754999999999996,0.013836666666666666
2010,9308,transport,運輸物流,2,0,2,0.012575000000000001,0.62875
2010,8053,trading,商社卸売,88,76,164,0.33980000000000005,0.20719512195121956
2010,2780,retail,小売,58,72,130,0.083919,0.06455307692307692
2010,8354,banks,銀行,47,45,92,0.26198200000000005,0.2847630434782609
2010,8725,finance,金融,2,0,2,0.023116,1.1558000000000002
2010,8984,realestate,不動産,0,3,3,0.00113,0.03766666666666667
2011,2587,food,食品,76,70,146,0.011743999999999949,0.008043835616438321
2011,5020,energy,エネルギー,98,103,201,0.059635000000000014,0.02966915422885573
2011,5233,construction,建設,1,4,5,-0.010415,-0.2083
2011,4004,materials,素材化学,2,1,3,-0.016665000000000003,-0.5555000000000001
2011,4536,pharma,医薬品,78,70,148,0.17270099999999997,0.11668986486486485
2011,7282,auto,自動車,93,109,202,0.18252999999999991,0.09036138613861382
2011,5713,steel,鉄鋼非鉄,0,1,1,-0.001633,-0.1633
2011,6113,machinery,機械,1,1,2,0.021356,1.0678
2011,6971,electronics,電機精密,3,2,5,0.014533000000000004,0.2906600000000001
2011,9984,it_services,情報通信,1,3,4,-0.036529,-0.913225
2011,9501,utilities,電力ガス,116,99,215,-0.14434,-0.06713488372093024
2011,9308,transport,運輸物流,4,2,6,-0.023267999999999997,-0.3877999999999999
2011,8053,trading,商社卸売,71,84,155,0.32460300000000003,0.20942129032258064
2011,2780,retail,小売,100,79,179,-0.44132399999999994,-0.24654972067039102
2011,8354,banks,銀行,63,74,137,0.044919000000000014,0.03278759124087592
2011,8725,finance,金融,2,5,7,-0.025414000000000006,-0.36305714285714297
2011,8984,realestate,不動産,2,4,6,0.045071,0.7511833333333333
2012,2587,food,食品,79,91,170,-0.18651800000000002,-0.1097164705882353
2012,5020,energy,エネルギー,88,81,169,0.15120699999999998,0.08947159763313609
2012,5233,construction,建設,2,3,5,-0.007885,-0.15769999999999998
2012,4004,materials,素材化学,1,2,3,0.047939,1.5979666666666665
2012,4536,pharma,医薬品,87,94,181,-0.10031699999999999,-0.05542375690607734
2012,7282,auto,自動車,109,99,208,0.10209999999999995,0.04908653846153844
2012,6113,machinery,機械,0,3,3,0.0023040000000000005,0.07680000000000001
2012,9984,it_services,情報通信,2,0,2,-0.007266,-0.3633
2012,9501,utilities,電力ガス,76,92,168,-0.319475,-0.1901636904761905
2012,9308,transport,運輸物流,2,1,3,0.002395,0.07983333333333333
2012,8053,trading,商社卸売,114,102,216,0.08953199999999999,0.041449999999999994
2012,2780,retail,小売,85,96,181,-0.10289400000000004,-0.05684751381215472
2012,8354,banks,銀行,66,46,112,-0.04345300000000001,-0.03879732142857144
2012,8725,finance,金融,3,1,4,0.012276,0.3069
2012,8984,realestate,不動産,0,3,3,-0.007046,-0.2348666666666667
2013,2587,food,食品,84,81,165,0.39306599999999997,0.23822181818181817
2013,5020,energy,エネルギー,67,65,132,-0.372509,-0.28220378787878786
2013,5233,construction,建設,1,2,3,-0.036659000000000004,-1.2219666666666669
2013,4004,materials,素材化学,2,2,4,0.014997000000000002,0.37492500000000006
2013,4536,pharma,医薬品,81,82,163,0.41323999999999994,0.253521472392638
2013,7282,auto,自動車,86,88,174,-0.182435,-0.1048477011494253
2013,5713,steel,鉄鋼非鉄,1,0,1,-0.013155,-1.3155000000000001
2013,6113,machinery,機械,6,0,6,0.010854999999999997,0.18091666666666661
