シナリオ,dd_t1,dd_s1,dd_t2,dd_s2,年率,Sharpe,MaxDD,Calmar,Calmar中央値,勝率,最終資産(万),2025年リターン
DDなし（基準）,―,―,―,―,109.5%,3.59,-27.9%,3.92,9.40,54.3%,96394,100.1%
t1=-6% s1=0.7,-6%,0.7,-15%,0.3,99.4%,3.47,-20.3%,4.91,10.74,54.3%,60841,91.9%
t1=-8% s1=0.7,-8%,0.7,-15%,0.3,102.8%,3.54,-20.0%,5.15,9.57,54.3%,71096,71.0%
t1=-10% s1=0.7,-10%,0.7,-15%,0.3,104.6%,3.57,-19.9%,5.27,9.05,54.3%,77342,72.4%
t1=-12% s1=0.7,-12%,0.7,-15%,0.3,102.1%,3.51,-19.9%,5.12,9.40,54.3%,69044,73.5%
t1=-15% s1=0.7,-15%,0.7,-20%,0.3,107.8%,3.58,-22.9%,4.71,9.40,54.3%,89270,93.5%
t1=-6% s1=0.5,-6%,0.5,-15%,0.2,95.0%,3.44,-16.8%,5.64,9.94,54.3%,49425,93.4%
t1=-6% s1=0.7,-6%,0.7,-15%,0.2,98.4%,3.46,-18.3%,5.37,10.74,54.3%,58048,71.6%
t1=-6% s1=0.9,-6%,0.9,-15%,0.2,98.3%,3.40,-18.9%,5.19,9.81,54.3%,57857,88.1%
t2=-12% s2=0.2,-6%,0.7,-12%,0.2,91.3%,3.30,-17.1%,5.34,10.55,54.3%,41435,92.4%
t2=-15% s2=0.2,-6%,0.7,-15%,0.2,98.4%,3.46,-18.3%,5.37,10.74,54.3%,58048,71.6%
t2=-18% s2=0.2,-6%,0.7,-18%,0.2,100.1%,3.49,-19.7%,5.07,10.74,54.3%,62927,96.2%
t2=-20% s2=0.2,-6%,0.7,-20%,0.2,98.8%,3.44,-22.2%,4.45,10.74,54.3%,59244,96.2%
t2=-25% s2=0.2,-6%,0.7,-25%,0.2,100.6%,3.49,-22.3%,4.50,10.74,54.3%,64329,96.2%
t2=-15% s2=0.0 回復-5%,-6%,0.7,-15%,0.0,98.5%,3.48,-15.2%,6.46,10.74,51.8%,58353,64.3%
t2=-15% s2=0.0 回復-8%,-6%,0.7,-15%,0.0,102.9%,3.57,-15.5%,6.62,9.57,51.1%,71550,63.6%
t2=-15% s2=0.1,-6%,0.7,-15%,0.1,98.2%,3.47,-17.9%,5.48,10.74,54.3%,57427,62.9%
t2=-15% s2=0.2,-6%,0.7,-15%,0.2,98.4%,3.46,-18.3%,5.37,10.74,54.3%,58048,71.6%
t2=-15% s2=0.3,-6%,0.7,-15%,0.3,99.4%,3.47,-20.3%,4.91,10.74,54.3%,60841,91.9%
v2確定値,-12%,0.7,-18%,0.1,104.8%,3.54,-20.3%,5.16,9.40,54.3%,77906,85.5%
v3確定値,-6%,0.7,-25%,0.3,100.6%,3.49,-22.3%,4.50,10.74,54.3%,64329,96.2%
