パターン,DD動的,年率,Sharpe,MaxDD,Calmar全体,Calmar中央値★,Calmar最悪,Calmar前半,Calmar後半,最悪年リターン
A_控えめ,DD動的なし,40.9%,3.45,-8.8%,4.67,11.17,3.48,4.51,8.68,15.3%
A_控えめ,DD動的あり,40.9%,3.45,-8.8%,4.67,11.17,3.48,4.51,8.68,15.3%
A_標準,DD動的なし,68.1%,3.74,-12.6%,5.41,12.48,3.97,5.22,9.89,25.8%
A_標準,DD動的あり,64.7%,3.61,-12.5%,5.16,12.48,3.02,4.74,9.89,19.7%
A_攻撃的,DD動的なし,104.5%,4.07,-16.4%,6.38,12.55,4.40,6.17,11.13,39.2%
A_攻撃的,DD動的あり,100.9%,4.00,-15.0%,6.74,12.55,3.71,6.30,11.13,33.0%
D_控えめ,DD動的なし,35.1%,3.38,-5.8%,6.04,11.52,3.95,5.93,9.57,14.1%
D_控えめ,DD動的あり,35.1%,3.38,-5.8%,6.04,11.52,3.95,5.93,9.57,14.1%
D_標準,DD動的なし,61.5%,3.76,-9.2%,6.65,12.85,4.10,6.62,10.50,23.1%
D_標準,DD動的あり,61.5%,3.76,-9.2%,6.65,12.85,4.10,6.62,10.50,23.1%
D_攻撃的,DD動的なし,75.4%,3.89,-10.8%,7.01,12.46,4.32,7.12,9.64,29.7%
D_攻撃的,DD動的あり,74.2%,3.84,-11.1%,6.70,12.46,3.82,6.71,9.64,25.9%
E_控えめ,DD動的なし,41.2%,3.46,-7.9%,5.19,10.34,4.23,5.32,8.85,22.2%
E_控えめ,DD動的あり,41.2%,3.46,-7.9%,5.19,10.34,4.23,5.32,8.85,22.2%
E_標準,DD動的なし,71.1%,3.79,-12.1%,5.89,12.18,4.22,6.01,10.44,36.9%
E_標準,DD動的あり,69.1%,3.74,-12.9%,5.37,12.18,3.03,5.33,10.44,26.5%
E_攻撃的,DD動的なし,150.4%,4.49,-18.7%,8.03,13.31,3.58,7.72,11.78,56.5%
E_攻撃的,DD動的あり,134.8%,4.23,-15.7%,8.61,11.75,2.61,8.15,11.45,36.0%
