date,signal_strength,strategy_return,us_return
2016-05-16,,-0.005775,-0.011891
2016-05-17,,0.003476,0.006273
2016-05-18,,0.010104,-0.011323
2016-05-19,,-0.004866,-0.005791
2016-05-20,,0.001645,-0.000906
2016-05-23,,-0.00598,0.006607
2016-05-24,,0.00468,-0.003475
2016-05-25,,-0.008455,0.012011
2016-05-26,,-0.006409,0.005487
2016-05-27,,-0.000165,0.00203
2016-05-31,,0.003538,0.004687
2016-06-01,,-0.015507,-0.001009
2016-06-02,,-0.013428,-0.000631
2016-06-03,,0.001494,0.005556
2016-06-06,,0.006341,-0.006531
2016-06-07,,0.002096,0.002528
2016-06-08,,0.014249,0.001261
2016-06-09,,0.006033,0.001133
2016-06-10,,-0.000327,-0.002264
2016-06-13,,-0.011379,-0.010464
2016-06-14,,-0.011997,-0.005478
2016-06-15,,0.008063,-0.002562
2016-06-16,,-0.024334,0.002826
2016-06-17,,0.001382,0.003202
2016-06-20,,0.000448,-0.001576
2016-06-21,,-0.00522,0.008982
2016-06-22,,-0.003123,-0.002289
2016-06-23,,0.002201,-0.001402
2016-06-24,,-0.054535,0.009829
2016-06-27,,0.029801,-0.037163
2016-06-28,,0.017758,-0.01838
2016-06-29,,-0.003901,0.019927
2016-06-30,,-0.00787,0.016129
2016-07-01,,0.003026,0.007356
2016-07-05,,-0.002533,0.010377
2016-07-06,,-0.004554,-0.008115
2016-07-07,,-0.003367,0.008565
2016-07-08,,0.003156,0.004309
2016-07-11,,0.019938,0.017415
2016-07-12,,0.0264,0.00583
2016-07-13,,-0.004624,0.003946
2016-07-14,,0.005162,-0.004914
2016-07-15,,0.002928,0.004074
2016-07-19,,0.00465,-0.004426
2016-07-20,,-0.005654,-0.001845
2016-07-21,,-0.002343,0.00419
2016-07-22,,0.001347,-0.0027
2016-07-25,,-0.00334,0.004184
2016-07-26,,0.001684,0.001593
2016-07-27,,-0.009874,-0.001224
2016-07-28,,-0.006917,-0.003062
2016-07-29,,-0.002443,0.001843
2016-08-01,,0.000965,0.001104
2016-08-02,,-0.005006,0.001593
2016-08-03,,0.000727,-0.014924
2016-08-04,,-0.003749,0.002856
2016-08-05,,-0.008612,-0.000495
2016-08-08,,0.012435,0.01053
2016-08-09,,0.006439,-0.00331
2016-08-10,,0.001282,-0.002952
2016-08-12,,0.003509,0.002097
2016-08-15,,-0.005887,-0.000488
2016-08-16,,-0.019197,0.001952
2016-08-17,,0.024002,-0.00572
2016-08-18,,-0.013116,-0.002326
2016-08-19,,-0.009916,-0.000614
2016-08-22,,-0.002967,0.000615
2016-08-23,,0.005792,-0.000982
2016-08-24,,-0.002179,0.005036
2016-08-25,,-0.003173,-0.004766
2016-08-26,,-0.002672,-0.003316
2016-08-29,,0.010887,-0.002834
2016-08-30,,0.003987,0.003459
2016-08-31,,0.020326,-0.005541
2016-09-01,,0.001854,-0.002599
2016-09-02,,-0.001199,0.001986
2016-09-06,,0.003374,0.001982
2016-09-07,,0.003401,0.001855
2016-09-08,,-0.005464,0.000493
2016-09-09,,-0.000708,-0.008635
2016-09-12,,-0.009882,-0.024138
2016-09-13,,0.00348,0.014025
2016-09-14,,-0.001428,-0.014209
2016-09-15,,-0.001296,0.000128
2016-09-16,,0.004527,0.007269
2016-09-20,,0.002114,-0.00216
2016-09-21,,0.011928,0.000765
2016-09-23,,-0.001536,0.00968
2016-09-26,,-0.018582,-0.002254
2016-09-27,,0.009687,-0.011046
2016-09-28,,0.002377,0.010154
2016-09-29,,-0.003839,0.002764
2016-09-30,,0.00035,-0.005138
2016-10-03,,-0.000381,0.008061
2016-10-04,,-0.004601,-0.000625
2016-10-05,,0.002704,-0.0035
2016-10-06,,0.006247,0.00414
2016-10-07,,0.000573,0.000749
2016-10-11,,-0.001565,-0.004494
2016-10-12,,0.00166,-0.012144
2016-10-13,,-0.004921,0.004689
2016-10-14,,0.002603,-0.003658
2016-10-17,,0.003276,-0.00114
2016-10-18,,0.000505,-0.008239
2016-10-19,,0.002747,0.006646
2016-10-20,,0.003027,0.004443
2016-10-21,,-0.001414,-0.001895
2016-10-24,,0.000532,0.007979
2016-10-25,,0.002096,0.007162
2016-10-26,,0.003121,-0.011727
2016-10-27,,-0.000181,-0.004292
2016-10-28,,0.002407,-0.008367
2016-10-31,,0.002099,-0.002302
2016-11-01,,0.001236,0.000769
2016-11-02,,-0.014455,-0.007042
2016-11-04,,-0.012833,-0.006061
2016-11-07,,0.006912,-0.001951
2016-11-08,,-0.006095,0.023068
2016-11-09,,-0.018041,0.004077
2016-11-10,,0.01703,0.00203
2016-11-11,,0.011613,0.003672
2016-11-14,,0.005612,0.005677
2016-11-15,,0.007265,0.000126
2016-11-16,,0.000725,0.003888
2016-11-17,,0.004863,0.005497
2016-11-18,,-0.006677,0.012053
2016-11-21,,0.010641,-0.003069
2016-11-22,,0.006846,0.006527
2016-11-25,,-0.004517,0.011868
2016-11-28,,0.007625,0.002416
2016-11-29,,0.003969,-0.007954
2016-11-30,,0.002422,0.002673
2016-12-01,,0.010846,-0.00836
2016-12-02,,-0.001551,0.000489
2016-12-05,,-0.005828,-0.005495
2016-12-06,,0.010688,0.010928
2016-12-07,,0.008986,0.002308
2016-12-08,,0.004556,0.019389
2016-12-09,,0.018791,0.0
2016-12-12,,0.015113,0.002259
2016-12-13,,0.011172,-0.008303
2016-12-14,,-0.002125,0.00897
2016-12-15,,-0.001452,-0.006757
2016-12-16,,0.002608,-0.002387
2016-12-19,,0.011313,-0.00491
2016-12-20,,0.001336,0.002661
2016-12-21,,-0.003041,0.00796
2016-12-22,,-0.00292,-0.000479
2016-12-27,,0.003096,-0.010775
2016-12-28,,-0.001918,0.003881
2016-12-29,,-0.001967,-0.006886
2016-12-30,,-0.003465,-0.001339
2017-01-04,,0.011267,-0.008405
2017-01-05,,-0.012712,0.013312
2017-01-06,,0.00357,-0.000723
2017-01-10,,-0.00988,0.004945
2017-01-11,,0.0,0.003604
2017-01-12,,0.001205,0.002154
2017-01-13,,-0.002414,-0.000955
2017-01-17,,-0.008493,0.003706
2017-01-18,,-0.001355,0.001667
2017-01-19,,0.005179,-0.001784
2017-01-20,,-0.002861,-0.003097
2017-01-23,,-0.005166,0.002868
2017-01-24,,-0.000703,0.000715
2017-01-25,,-0.006313,0.008215
2017-01-26,,-0.005005,0.006141
2017-01-27,,0.010005,0.001526
2017-01-30,,-0.000466,-0.003164
2017-01-31,,-0.002791,-0.001176
2017-02-01,,0.008201,-0.00153
2017-02-02,,-0.001063,-0.001886
2017-02-03,,0.004355,-0.000826
2017-02-06,,-0.004611,-0.0013
2017-02-07,,0.000519,-0.002959
2017-02-08,,0.003465,-0.00095
2017-02-09,,-0.001433,0.006178
2017-02-10,,0.013942,0.006259
2017-02-13,,0.013628,0.006103
2017-02-14,,-0.009294,0.001167
2017-02-15,,0.003936,0.005709
2017-02-16,,-0.001343,0.005213
2017-02-17,,0.003074,-0.00507
2017-02-21,,0.005093,0.003243
2017-02-22,,-0.003586,0.005773
2017-02-23,,0.003217,0.0
2017-02-24,,0.004439,-0.006774
2017-02-27,,-0.001786,0.004623
2017-02-28,,0.005054,0.001151
2017-03-01,,0.003661,-0.00747
2017-03-02,,0.004855,0.011231
2017-03-03,,-0.000507,-0.002404
2017-03-06,,0.004823,-0.001492
2017-03-07,,0.002463,-0.003218
2017-03-08,,-0.001684,-0.003229
2017-03-09,,-0.00118,0.004165
2017-03-10,,0.009854,-0.000922
2017-03-13,,0.003386,0.001499
2017-03-14,,-0.005643,0.002648
2017-03-15,,-0.000476,-0.00023
2017-03-16,,-0.004244,0.005284
2017-03-17,,0.001627,-0.000114
2017-03-21,,-0.006228,0.001272
2017-03-22,,0.002412,-0.012622
2017-03-23,,-0.000853,0.001162
2017-03-24,,0.002545,0.002322
2017-03-27,,0.000476,0.002432
2017-03-28,,0.00428,-0.000346
2017-03-29,,-0.00208,0.007627
2017-03-30,,0.001656,0.005964
2017-03-31,,-0.00321,0.002623
2017-04-03,,-0.00363,0.000114
2017-04-04,,-0.012272,-0.003979
2017-04-05,,-0.009931,-0.001599
2017-04-06,,-0.005976,-0.002401
2017-04-07,,0.011783,0.003094
2017-04-10,,-0.00554,-0.00297
2017-04-11,,-0.004963,0.003667
2017-04-12,,-0.014198,-0.000799
2017-04-13,,0.002341,-0.003999
2017-04-17,,0.004298,-0.006999
2017-04-18,,-0.00549,0.010283
2017-04-19,,0.002341,0.000114
2017-04-20,,0.009734,0.000915
2017-04-21,,-0.002138,0.010511
2017-04-24,,0.000714,-0.002261
2017-04-25,,0.001867,0.006459
2017-04-26,,0.007722,0.007881
2017-04-27,,0.00078,0.004691
2017-04-28,,0.0,0.005337
2017-05-01,,-0.000914,-0.003982
2017-05-02,,0.000407,0.001333
2017-05-08,,0.006408,0.001109
2017-05-09,,-0.000441,0.001885
2017-05-10,,0.003921,0.005756
2017-05-11,,0.001456,-0.003412
2017-05-12,,0.001173,-0.005964
2017-05-15,,0.00652,-0.001444
2017-05-16,,-0.003022,0.000223
2017-05-17,,-0.004547,-0.003448
2017-05-18,,-0.000977,-0.016185
2017-05-19,,-0.003887,0.005786
2017-05-22,,0.000634,0.006768
2017-05-23,,-0.000877,0.005042
