date,strategy_return,long_return,short_return,long_only_return,capital,capital_long_only,pnl,pnl_pct,is_correct,win_rate_total,win_rate_20d,total_days
2016-05-16,-0.000708,-0.005775,-0.005067,-0.005775,999292.0,994225.0,-708.0,-0.000708,0,0.0,0.0,1
2016-05-17,0.003476,0.003476,0.0,0.003476,1002766.0,997681.0,2766.0,0.002766,1,0.5,0.5,2
2016-05-18,0.017143,0.010104,-0.007039,0.010104,1019956.0,1007761.0,19956.0,0.019956,1,0.6667,0.6667,3
2016-05-19,-0.001268,-0.004866,-0.003599,-0.004866,1018663.0,1002857.0,18663.0,0.018663,0,0.5,0.5,4
2016-05-20,8e-06,0.001645,0.001637,0.001645,1018671.0,1004507.0,18671.0,0.018671,1,0.6,0.6,5
2016-05-23,-0.00068,-0.00598,-0.0053,-0.00598,1017978.0,998500.0,17978.0,0.017978,0,0.5,0.5,6
2016-05-24,-0.000606,0.00468,0.005286,0.00468,1017361.0,1003173.0,17361.0,0.017361,0,0.4286,0.4286,7
2016-05-25,-0.001445,-0.008455,-0.00701,-0.008455,1015891.0,994690.0,15891.0,0.015891,0,0.375,0.375,8
2016-05-26,-0.007503,-0.006409,0.001094,-0.006409,1008269.0,988315.0,8269.0,0.008269,0,0.3333,0.3333,9
2016-05-27,0.008795,-0.000165,-0.00896,-0.000165,1017136.0,988152.0,17136.0,0.017136,1,0.4,0.4,10
2016-05-31,0.003538,0.003538,0.0,0.003538,1020735.0,991648.0,20735.0,0.020735,1,0.4545,0.4545,11
2016-06-01,-0.01157,-0.015507,-0.003937,-0.015507,1008925.0,976270.0,8925.0,0.008925,0,0.4167,0.4167,12
2016-06-02,0.0135,-0.013428,-0.026928,-0.013428,1022545.0,963161.0,22545.0,0.022545,1,0.4615,0.4615,13
2016-06-03,0.00079,0.001494,0.000704,0.001494,1023353.0,964600.0,23353.0,0.023353,1,0.5,0.5,14
2016-06-06,0.011854,0.006341,-0.005513,0.006341,1035484.0,970716.0,35484.0,0.035484,1,0.5333,0.5333,15
2016-06-07,0.001932,0.002096,0.000165,0.002096,1037484.0,972751.0,37484.0,0.037484,1,0.5625,0.5625,16
2016-06-08,0.008478,0.014249,0.005771,0.014249,1046280.0,986612.0,46280.0,0.04628,1,0.5882,0.5882,17
2016-06-09,0.00492,0.006033,0.001112,0.006033,1051428.0,992564.0,51428.0,0.051428,1,0.6111,0.6111,18
2016-06-10,0.000803,-0.000327,-0.00113,-0.000327,1052273.0,992240.0,52273.0,0.052273,1,0.6316,0.6316,19
2016-06-13,0.009476,-0.011379,-0.020855,-0.011379,1062244.0,980949.0,62244.0,0.062244,1,0.65,0.65,20
2016-06-14,0.005932,-0.011997,-0.017929,-0.011997,1068545.0,969181.0,68545.0,0.068545,1,0.6667,0.7,21
2016-06-15,0.009261,0.008063,-0.001198,0.008063,1078441.0,976996.0,78441.0,0.078441,1,0.6818,0.7,22
2016-06-16,-0.006213,-0.024334,-0.018121,-0.024334,1071740.0,953222.0,71740.0,0.07174,0,0.6522,0.65,23
2016-06-17,0.006631,0.001382,-0.005249,0.001382,1078846.0,954539.0,78846.0,0.078846,1,0.6667,0.7,24
2016-06-20,-0.005101,0.000448,0.005549,0.000448,1073343.0,954966.0,73343.0,0.073343,0,0.64,0.65,25
2016-06-21,-0.010998,-0.00522,0.005778,-0.00522,1061539.0,949982.0,61539.0,0.061539,0,0.6154,0.65,26
2016-06-22,-0.00463,-0.003123,0.001508,-0.003123,1056624.0,947016.0,56624.0,0.056624,0,0.5926,0.65,27
2016-06-23,-0.012025,0.002201,0.014226,0.002201,1043918.0,949100.0,43918.0,0.043918,0,0.5714,0.65,28
2016-06-24,-0.011357,-0.054535,-0.043177,-0.054535,1032062.0,897341.0,32062.0,0.032062,0,0.5517,0.65,29
2016-06-27,0.029749,0.029801,5.2e-05,0.029801,1062765.0,924083.0,62765.0,0.062765,1,0.5667,0.65,30
2016-06-28,0.012605,0.017758,0.005154,0.017758,1076160.0,940493.0,76160.0,0.07616,1,0.5806,0.65,31
2016-06-29,-0.012986,-0.003901,0.009085,-0.003901,1062185.0,936823.0,62185.0,0.062185,0,0.5625,0.65,32
2016-06-30,-0.007581,-0.00787,-0.00029,-0.00787,1054133.0,929450.0,54133.0,0.054133,0,0.5455,0.6,33
2016-07-01,0.000147,0.003026,0.002879,0.003026,1054288.0,932262.0,54288.0,0.054288,1,0.5588,0.6,34
2016-07-05,-0.000111,-0.002533,-0.002421,-0.002533,1054170.0,929901.0,54170.0,0.05417,0,0.5429,0.55,35
